,Room Details,City,Ward,Negotiable,Monthly Rent,Available Now?,Size in squared meters,Deposit in Yen,Deposit Required?,Key Price in Yen,Key Payment Required?,Floor Data,Year,Building Age,Closest Station,Time to Nearest Station,Bus Requried?
120,1K APARTMENT,NAKAOCHIAI,SHINJUKU,No,87000.0,Yes,26.08,0,No,0,No,2 / 2,2003,18,Nakai Station,9,No
122,1K APARTMENT,KAIGAN(3-CHOME),MINATO,No,129000.0,Yes,25.67,119000,Yes,0,No,2 / 8,2020,1,Shibaura Futou Station,3,No
123,1LDK APARTMENT,SHIBA(1-3-CHOME),MINATO,No,188000.0,Yes,53.52,178000,Yes,178000,Yes,5 / 10,1997,24,Akabanebashi Station,2,No
124,1K APARTMENT,DAIKYOCHO,SHINJUKU,No,144000.0,Yes,25.63,0,No,0,No,8 / 10,2020,1,Yotsuya San Choume Station,7,No
125,1K APARTMENT,MORISHITA,KOTO,No,120000.0,Yes,25.52,0,No,0,No,4 / 8,2020,1,Morishita Station,3,No
126,1K APARTMENT,MORISHITA,KOTO,No,119500.0,Yes,25.52,0,No,0,No,3 / 8,2020,1,Morishita Station,3,No
127,1K APARTMENT,KUGAHARA,OTA,No,57000.0,No,14.1,0,No,0,No,2 / 2,1990,31,Mitakesan Station,14,No
129,1K APARTMENT,HONCHO,ITABASHI,No,103000.0,Yes,25.62,0,No,0,No,5 / 7,2021,0,Itabashi Honchou Station,5,No
130,1K APARTMENT,NISHIWASEDA(SONOTA),SHINJUKU,No,118000.0,Yes,25.89,0,No,0,No,2 / 11,2020,1,Waseda Station,3,No
131,1K APARTMENT,HONCHO,ITABASHI,No,103000.0,Yes,25.62,0,No,0,No,6 / 7,2021,0,Itabashi Honchou Station,5,No
132,1K APARTMENT,NISHIWASEDA(SONOTA),SHINJUKU,No,119000.0,Yes,25.89,0,No,0,No,4 / 11,2020,1,Waseda Station,3,No
133,1K APARTMENT,HIGASHIKANDA,CHIYODA,No,136000.0,Yes,25.83,0,No,0,No,9 / 12,2020,1,Asakusabashi Station,5,No
134,1K APARTMENT,MIDORI,SUMIDA,No,117500.0,Yes,25.64,0,No,0,No,3 / 11,2020,1,Ryogoku Station,5,No
135,1LDK APARTMENT,DAIKYOCHO,SHINJUKU,No,262000.0,No,40.76,494000,Yes,0,No,3 / 5,2020,1,Yotsuya San Choume Station,7,No
136,1K APARTMENT,HIKAWADAI,NERIMA,No,84000.0,Yes,20.29,0,No,0,No,4 / 4,2018,3,Hikawadai Station,6,No
137,1K APARTMENT,MORISHITA,KOTO,No,119500.0,Yes,25.64,0,No,0,No,2 / 8,2020,1,Morishita Station,3,No
138,1R APARTMENT,HIGASHIGOKENCHO,SHINJUKU,No,113000.0,Yes,27.8,0,No,0,No,4 / 4,2015,6,Iidabashi Station,9,No
139,1K APARTMENT,SHIMOIGUSA,SUGINAMI,No,87000.0,No,25.62,0,No,0,No,1 / 2,2013,8,Shimoigusa Station,10,No
140,1R APARTMENT,SENDAGAYA,SHIBUYA,No,132000.0,No,29.65,0,No,0,No,2 / 4,2015,6,Kita Sandou Station,5,No
141,1K APARTMENT,MIDORI,SUMIDA,No,117000.0,Yes,25.64,0,No,0,No,2 / 11,2020,1,Ryogoku Station,5,No
142,1K APARTMENT,MORISHITA,KOTO,No,120000.0,Yes,25.64,0,No,0,No,3 / 8,2020,1,Morishita Station,3,No
143,1K APARTMENT,UDAGAWACHO,SHIBUYA,No,102500.0,Yes,21.0,0,No,0,No,2 / 5,2001,20,Shibuya Station,11,No
